тэрмін на мове арыгінала (eng.),пераклад тэрміна на беларускую мову,як не перакладаць,заўвагі
auto,аўта,,Samsung
Auto & Vehicles,Аўтамабілі і транспарт,,"Google (A Google Play Store category: auto shopping, auto insurance, auto price comparison, road safety, auto reviews & news...)"
auto add,аўтададаванне,дадаць аўтаматычна,"Google (Feature that allows users to create rules for automatically adding videos to playlists based on those rules. For example, let's say I have a playlist called ""cats."" Every time I tag one of my videos with the keyword ""cats,"" this feature can automatically add this video to my ""cats"" playlist.)"
auto adjust,аўтакарэкцыя,аўтаматычная падгонка,Google (A parameter of Tune Image feature that will automatically adjust the image to improve it. Its effect is similar to Auto Edit in Google Plus.)
auto advance,аўтапрасоўванне,,Anki
auto backup,аўтаматычнае рэзервовае капіраванне,,Samsung
auto color,аўтакаляроўка,,Google (Automatically adjusts the color balance of a photo (removes color casts))
auto contrast,аўтаматычны кантраст,,Google (Automatically adjusts the contrast of a photo)
auto creation,аўтаматычнае стварэнне,,Google (Automatic creation of a new photo album etc.)
Auto fill forms,Аўтазапаўненне формаў,,Samsung
Auto IMEI,Аўтаматычны IMEI,,Samsung
Auto Joining,Аўтадалучэнне,,Samsung
Auto Lock,Аўтаблакіроўка,,Samsung
auto mode,аўтарэжым,,Samsung
Auto night detection,Аўтавызначэнне цёмнай пары,,Samsung
Auto resize,Аўтаматычная змена памеру,,Samsung
auto run,аўтазапуск,,Samsung
Auto share shot,Аўтаабагуленне здымкаў,,Samsung
Auto spacing,Аўтаматычны інтэрвал,,Samsung
auto-claim,аўтапрэтэнзія,,Google (A claim that is automatically initiated when a content owner uploads a video through their user account. YouTube will assign the default usage and match policies to the video.)
Auto-claim Policy,Палітыка аўтапрэтэнзій,,"Google (A policy that will automatically claim matches (in the context of Content ID). With auto-claim policies, you can specify policies based on the location of the viewer, type of content matched, amount of reference file matched, and/or the amount of user uploaded video matched.)"
Auto-resize,Аўтаматычная змена памеру,,Samsung
auto-retrieve,аўтаматычнае атрыманне,,Google (To automatically download MMS attachments such as pictures.)
Auto-share shot,Аўтаабагуленне здымкаў,,Samsung
Auto-spacing,Аўтаматычны інтэрвал,,Samsung
auto-sync,аўтасінхранізацыя,,"Google (To synchronize information automatically at set intervals or on certain events, rather than requiring a specific command to synchronize that information. On the phone, users can synchronize email, Calendar events, contact information, and other information between the phone and an online service, such as Gmail, Google Calendar, and so on.)"
autocomplete,аўтазапаўненне,,Google
automatic,"аўтаматычны, аўтаматычна",,Samsung
automatic answering,аўтаадказ,,Samsung
automatic captions,аўтаматычныя цітры,,Google (Captions generated automatically by YouTube based on the sound associated with a video. Note that this does not relate to simply enabling captions automatically. It concerns a technology to create captions based on sound.)
Automatic Storage Management,Аўтаматычнае кіраванне сховішчам,,"Google (A service which automatically manages storage on a device, e.g. by removing old photos and videos to free up space when it starts reduce.)"
Automatic update,Аўтаматычнае абнаўленне,,Samsung
automatical,аўтаматычна,,Samsung
automatically,аўтаматычна,,Samsung
automode,аўтарэжым,,Samsung
autoplay,аўтапрайграванне,,"Google — аўтапрайграванне (Feature which can be turned on/off. This feature allows you to automatically continue playing videos in a playlist by proceeding to the next video without clicking.);
MS — аўтазапуск (In the Movies & TV app, a feature that automatically plays all the files in a folder, one after another, when the user selects that folder.)"
